Gene_name	Species_name	Max_cov
ARL11	Spondylurus_nitidus	24
ARL11	Acritoscincus_duperreyi	25
ARL11	Gonatodes_alexandermendesi	17
ARL11	Crotalus_ruber	17
ARL11	Asaccus_caudivolvulus	28
ARL11	Gallotia_galloti	17
ARL11	Bitis_arietans	27
ARL11	Naja_nigricollis	17
ARL11	Causus_rhombeatus	17
ARL11	Hemidactylus_brookii	19
ARL11	Micrurus_diastema	17
ARL11	Trioceros_balebicornutus	18
ARL11	Anolis_rodriguezii	17
ARL11	Acanthocercus_minutus	17
ARL11	Chamaeleo_dilepis	17
ARL11	Naja_haje	17
ARL11	Leptodeira_frenata	17
ARL11	Anolis_tropidonotus	17
ARL11	Bothrops_asper	17
ARL11	Xenagama_zonura	17
ARL11	Aspidoscelis_angusticeps	23
ARL11	Panaspis_annettesabinae	17
ARL11	Sceloporus_chrysostictus	17
ARL11	Trachylepis_brevicollis	41
ARL11	Acanthocercus_cyanogaster	17
ARL11	Psammophis_punctulatus	17
ARL11	Crotaphopeltis_hotamboeia	17
ARL11	Atractaspis_microlepidota	17
ARL11	Telescopus_dhara	17
ARL11	Trioceros_harennae	18
ARL11	Agama_finchi	17
ARL11	Trioceros_affinis	17
ARL11	Phrynonax_poecilonotus	17
ARL11	Chamaeleo_calyptratus	17
ARL11	Varanus_albigularis	17
ARL11	Trachylepis_striata	41
ARL11	Philothamnus_battersbyi	17
ARL11	Mochlus_sundevallii	17
ARL11	Naja_melanoleuca	17
ARL11	Thecadactylus_rapicauda	17
ARL11	Chamaeleo_laevigatus	17
ARL11	Crotalus_simus	17
ARL11	Agama_doriae	17
ARL11	Psammophis_sibilans	17
ARL11	Coniophanes_imperialis	17
ARL11	Imantodes_gemmistratus	17
ARL11	Trachylepis_maculilabris	41
ARL11	Drymobius_margaritiferus	17
ARL11	Varanus_niloticus	17
ARL11	Anilius_scytale	17
ARL11	Chamaeleo_gracilis	17
ARL11	Natriciteres_olivacea	17
ARL11	Sphaerodactylus_glaucus	17
ARL11	Bachia_flavescens	17
ARL11	Tropidodipsas_fasciata	17
ARL11	Hemidactylus_macropholis	17
ARL11	Nerodia_floridana	17
ARL11	Pseudelaphe_flavirufa	17
ARL11	Marisora_unimarginata	17
ARL11	Imantodes_tenuissimus	19
ARL11	Latastia_doriai	17
ARL11	Atractaspis_fallax	17
ARL11	Acanthocercus_guentherpetersi	18
ARL11	Ninia_diademata	17
ARL11	Cordylus_rivae	17
ARL11	Dasypeltis_abyssina	17
ARL11	Hydrophis_schistosus	17
ARL11	Hypnale_hypnale	17
ARL11	Anolis_lemurinus	17
ARL11	Micrurus_fulvius	17
