Gene_name	Species_name	GC_Stretch
ADAP2	Apteryx_mantelli	3.78947368421053
ADAP2	Oryx_dammah	4.05714285714286
ADAP2	Haliaeetus_albicilla	3.8
ADAP2	Peromyscus_californicus_insignis	4.06944444444444
ADAP2	Pelobates_fuscus	3.52083333333333
ADAP2	Columba_livia	3.94117647058824
ADAP2	Arvicola_amphibius	3.85897435897436
ADAP2	Pelodiscus_sinensis	4.04838709677419
ADAP2	Acinonyx_jubatus	4.25974025974026
ADAP2	Lynx_canadensis	4.29333333333333
ADAP2	Aotus_nancymaae	3.97260273972603
ADAP2	Desmodus_rotundus	4.17073170731707
ADAP2	Dromaius_novaehollandiae	3.86792452830189
ADAP2	Balaenoptera_acutorostrata	4.1375
ADAP2	Serinus_canaria	3.58823529411765
ADAP2	Pseudophryne_corroboree	3.26086956521739
ADAP2	Falco_biarmicus	3.81034482758621
ADAP2	Anas_platyrhynchos	4.17647058823529
ADAP2	Nothoprocta_perdicaria	3.84313725490196
ADAP2	Corvus_brachyrhynchos	3.51851851851852
ADAP2	Emys_orbicularis	3.88059701492537
ADAP2	Equus_quagga	4.19230769230769
ADAP2	Ovis_canadensis	4.04054054054054
ADAP2	Athene_cunicularia	3.56410256410256
ADAP2	Balaenoptera_musculus	4.075
ADAP2	Mus_musculus	3.88
ADAP2	Mirounga_leonina	4.17948717948718
ADAP2	Mastomys_coucha	3.7887323943662
ADAP2	Puma_concolor	3.95833333333333
ADAP2	Condylura_cristata	3.98684210526316
ADAP2	Panthera_leo	4.21052631578947
ADAP2	Neopsephotus_bourkii	3.64406779661017
ADAP2	Macaca_fascicularis	4.05952380952381
ADAP2	Pleurodeles_waltl	3.67391304347826
ADAP2	Saccopteryx_leptura	4.45454545454545
ADAP2	Gorilla_gorilla_gorilla	4.05263157894737
ADAP2	Aquila_chrysaetos_chrysaetos	3.76363636363636
ADAP2	Phocoena_sinus	4.08974358974359
ADAP2	Diceros_bicornis_minor	4.28947368421053
ADAP2	Molothrus_ater	3.75510204081633
ADAP2	Macaca_thibetana_thibetana	4.04
ADAP2	Phaenicophaeus_curvirostris	3.83333333333333
ADAP2	Tyto_alba	3.74545454545455
ADAP2	Pogoniulus_pusillus	3.68055555555556
ADAP2	Bombina_bombina	3.44186046511628
ADAP2	Pseudopodoces_humilis	3.71428571428571
ADAP2	Ictidomys_tridecemlineatus	3.76470588235294
ADAP2	Strigops_habroptila	3.8135593220339
ADAP2	Onychomys_torridus	3.92307692307692
ADAP2	Chlorocebus_sabaeus	4.01315789473684
ADAP2	Hyperolius_riggenbachi	3.84415584415584
ADAP2	Carlito_syrichta	3.74137931034483
ADAP2	Gavialis_gangeticus	3.76190476190476
ADAP2	Neofelis_nebulosa	4.29333333333333
ADAP2	Manis_javanica	4.13157894736842
ADAP2	Hyaena_hyaena	4.31645569620253
ADAP2	Panthera_pardus	4.35616438356164
ADAP2	Zonotrichia_albicollis	3.7
ADAP2	Corvus_moneduloides	3.79245283018868
ADAP2	Propithecus_coquereli	4.20652173913043
ADAP2	Harpia_harpyja	3.85454545454545
ADAP2	Anomalospiza_imberbis	3.69642857142857
ADAP2	Chionomys_nivalis	4.07575757575758
ADAP2	Sarcophilus_harrisii	3.921875
ADAP2	Dryobates_pubescens	3.80645161290323
ADAP2	Myotis_myotis	4.31034482758621
ADAP2	Apus_apus	3.76363636363636
ADAP2	Pteropus_alecto	4.19178082191781
ADAP2	Lagopus_leucura	3.77777777777778
ADAP2	Phalacrocorax_carbo	3.76271186440678
ADAP2	Bos_indicus_x_Bos_taurus	4.06849315068493
ADAP2	Cricetulus_griseus	3.95061728395062
ADAP2	Fukomys_damarensis	4.03529411764706
ADAP2	Dromiciops_gliroides	3.88888888888889
ADAP2	Cavia_porcellus	4.09210526315789
ADAP2	Ursus_americanus	4.1304347826087
ADAP2	Leptonychotes_weddellii	4.17073170731707
ADAP2	Corvus_cornix_cornix	3.72549019607843
ADAP2	Gavia_stellata	3.98181818181818
ADAP2	Chrysemys_picta_bellii	3.93846153846154
ADAP2	Theropithecus_gelada	4.02666666666667
ADAP2	Vulpes_lagopus	4.10126582278481
ADAP2	Octodon_degus	4.3625
ADAP2	Trichechus_manatus_latirostris	4.08571428571429
ADAP2	Caloenas_nicobarica	3.89090909090909
ADAP2	Felis_catus	4.22784810126582
ADAP2	Bos_mutus	4.01351351351351
ADAP2	Neopelma_chrysocephalum	3.87719298245614
ADAP2	Eschrichtius_robustus	4.1025641025641
ADAP2	Mesoplodon_densirostris	4.16883116883117
ADAP2	Ovis_aries	4.05747126436782
ADAP2	Poecile_atricapillus	3.7037037037037
