Gene,Pantherophis_guttatus,Pituophis_catenifer_annectens,Thamnophis_elegans,Thamnophis_sirtalis,Ahaetulla_prasina,Crotalus_tigris,Protobothrops_mucrosquamatus,Notechis_scutatus,Pseudonaja_textilis,Erythrolamprus_reginae,Python_bivittatus,Candoia_aspera,Anolis_sagrei,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps,Varanus_komodoensis,Elgaria_multicarinata_webbii,Podarcis_muralis,Podarcis_raffonei,Zootoca_vivipara,Lacerta_agilis,Rhineura_floridana,Tiliqua_scincoides,Hemicordylus_capensis,Sphaerodactylus_townsendi,Euleptes_europaea,Heteronotia_binoei,Gekko_japonicus,Eublepharis_macularius,Alligator_mississippiensis,Gallus_gallus,Chelonia_mydas,Homo_sapiens,Xenopus_tropicalis
CDC42-998,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CDKN2A-1029,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CEBPA-1050,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Missing,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,LQP,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact
CEBPE-1053,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact
CETP-1071,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CKLF-51192,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Intact,Missing
CLEC4D-338339,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CLEC4E-26253,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CLEC6A-93978,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CLEC7A-64581,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
