Gene_name	Group	Species_name	GC_content	GC_Stretch
il34	Actinopterygii	Anguilla_rostrata	56.15	 3.87878787878788
il34	Actinopterygii	Oncorhynchus_masou	48.94	 3.44444444444444
il34	Actinopterygii	Hoplias_malabaricus	45.87	 3.38461538461538
il34	Actinopterygii	Amia_calva	50.84	 3.6
il34	Actinopterygii	Osmerus_mordax	51.20	 3.65714285714286
il34	Actinopterygii	Chanodichthys_erythropterus	43.29	 3.54166666666667
il34	Actinopterygii	Pseudorasbora_parva	43.06	 3.45
il34	Actinopterygii	Channa_argus	49.47	 3.46875
il34	Actinopterygii	Thunnus_thynnus	51.29	 3.51428571428571
il34	Actinopterygii	Antennarius_striatus	47.34	 3.48
il34	Actinopterygii	Clinocottus_analis	50.27	 3.69230769230769
il34	Actinopterygii	Cebidichthys_violaceus	52.76	 3.65625
il34	Actinopterygii	Brachionichthys_hirsutus	47.48	 3.38461538461538
il34	Actinopterygii	Embiotoca_jacksoni	55.25	 4.09756097560976
il34	Actinopterygii	Lepisosteus_oculatus	54.35	 3.7027027027027
il34	Actinopterygii	Semicossyphus_pulcher	54.03	 3.61538461538462
il34	Actinopterygii	Brachyistius_frenatus	54.78	 4.02439024390244
il34	Actinopterygii	Pempheris_klunzingeri	52.51	 3.72222222222222
il34	Actinopterygii	Enoplosus_armatus	52.66	 3.58333333333333
il34	Actinopterygii	Chaetodon_trifascialis	49.84	 3.35483870967742
il34	Actinopterygii	Salvelinus_alpinus	49.92	 3.41379310344828
il34	Actinopterygii	Trachinotus_anak	51.68	 3.45
il34	Actinopterygii	Centroberyx_affinis	57.69	 4.26190476190476
il34	Actinopterygii	Centroberyx_gerrardi	56.93	 4.11904761904762
tnip2	Actinopterygii	Danio_rerio	48.63	 3.88709677419355
tnip2	Actinopterygii	Oreochromis_niloticus	52.54	 3.66666666666667
tnip2	Actinopterygii	Takifugu_rubripes	55.85	 3.96428571428571
tnip2	Actinopterygii	Oryzias_latipes	55.87	 4.1038961038961
tnip2	Actinopterygii	Maylandia_zebra	52.66	 3.65789473684211
tnip2	Actinopterygii	Pundamilia_nyererei	53.02	 3.63157894736842
tnip2	Actinopterygii	Xiphophorus_maculatus	62.30	 4.66326530612245
tnip2	Actinopterygii	Haplochromis_burtoni	53.02	 3.67532467532468
tnip2	Actinopterygii	Lepisosteus_oculatus	51.21	 3.984375
tnip2	Actinopterygii	Neolamprologus_brichardi	53.16	 3.69230769230769
tnip2	Actinopterygii	Astyanax_mexicanus	57.31	 4.17
tnip2	Actinopterygii	Poecilia_formosa	60.39	 4.52222222222222
tnip2	Actinopterygii	Stegastes_partitus	55.49	 3.74117647058824
tnip2	Actinopterygii	Cynoglossus_semilaevis	53.99	 3.73529411764706
tnip2	Actinopterygii	Poecilia_reticulata	60.89	 4.64835164835165
tnip2	Actinopterygii	Larimichthys_crocea	51.36	 3.59701492537313
tnip2	Actinopterygii	Notothenia_coriiceps	54.78	 3.7875
tnip2	Actinopterygii	Esox_lucius	50.48	 3.85897435897436
tnip2	Actinopterygii	Clupea_harengus	52.74	 3.83333333333333
tnip2	Actinopterygii	Fundulus_heteroclitus	60.39	 4.16831683168317
tnip2	Actinopterygii	Austrofundulus_limnaeus	59.07	 4.02409638554217
tnip2	Actinopterygii	Salmo_salar	52.28	 3.61111111111111
tnip2	Actinopterygii	Poecilia_mexicana	60.39	 4.52747252747253
tnip2	Actinopterygii	Poecilia_latipinna	60.60	 4.37894736842105
tnip2	Actinopterygii	Cyprinodon_variegatus	55.86	 3.86904761904762
tnip2	Actinopterygii	Nothobranchius_furzeri	54.14	 3.8695652173913
tnip2	Actinopterygii	Sinocyclocheilus_anshuiensis	51.26	 3.84615384615385
tnip2	Actinopterygii	Sinocyclocheilus_rhinocerous	50.37	 3.84931506849315
tnip2	Actinopterygii	Kryptolebias_marmoratus	60.10	 4.24444444444444
tnip2	Actinopterygii	Ictalurus_punctatus	55.48	 3.80487804878049
tnip2	Actinopterygii	Pygocentrus_nattereri	51.34	 3.77272727272727
tnip2	Actinopterygii	Lates_calcarifer	51.50	 3.47222222222222
tnip2	Actinopterygii	Scleropages_formosus	63.49	 4.39795918367347
tnip2	Actinopterygii	Cyprinus_carpio	50.89	 3.89189189189189
tnip2	Actinopterygii	Hippocampus_comes	61.15	 4.2972972972973
tnip2	Actinopterygii	Paralichthys_olivaceus	57.12	 3.76829268292683
tnip2	Actinopterygii	Monopterus_albus	50.66	 3.53030303030303
tnip2	Actinopterygii	Labrus_bergylta	50.66	 3.66666666666667
tnip2	Actinopterygii	Boleophthalmus_pectinirostris	55.01	 3.7375
tnip2	Actinopterygii	Acanthochromis_polyacanthus	56.67	 3.72941176470588
tnip2	Actinopterygii	Seriola_dumerili	50.40	 3.47826086956522
tnip2	Actinopterygii	Amphiprion_ocellaris	57.48	 3.81927710843373
tnip2	Actinopterygii	Seriola_lalandi	50.74	 3.51428571428571
tnip2	Actinopterygii	Paramormyrops_kingsleyae	59.65	 4.26041666666667
tnip2	Actinopterygii	Oryzias_melastigma	55.92	 3.98795180722892
tnip2	Actinopterygii	Astatotilapia_calliptera	52.73	 3.66233766233766
tnip2	Actinopterygii	Carassius_auratus	51.15	 3.92207792207792
tnip2	Actinopterygii	Mastacembelus_armatus	50.82	 3.51515151515152
tnip2	Actinopterygii	Anabas_testudineus	52.03	 3.59154929577465
tnip2	Actinopterygii	Pangasianodon_hypophthalmus	55.24	 3.92
tnip2	Actinopterygii	Electrophorus_electricus	58.68	 4.07228915662651
tnip2	Actinopterygii	Tachysurus_fulvidraco	51.58	 3.78333333333333
tnip2	Actinopterygii	Xiphophorus_couchianus	62.02	 4.52
tnip2	Actinopterygii	Parambassis_ranga	51.89	 3.88059701492537
tnip2	Actinopterygii	Gouania_willdenowi	54.97	 3.5974025974026
tnip2	Actinopterygii	Perca_flavescens	55.43	 4.07142857142857
tnip2	Actinopterygii	Erpetoichthys_calabaricus	62.33	 4.66019417475728
tnip2	Actinopterygii	Denticeps_clupeoides	56.91	 4.29761904761905
tnip2	Actinopterygii	Betta_splendens	67.49	 5.01652892561984
tnip2	Actinopterygii	Cottoperca_gobio	53.41	 3.76
tnip2	Actinopterygii	Echeneis_naucrates	51.25	 3.65625
tnip2	Actinopterygii	Myripristis_murdjan	54.38	 4.18666666666667
tnip2	Actinopterygii	Salarias_fasciatus	63.55	 4.56730769230769
tnip2	Actinopterygii	Sphaeramia_orbicularis	54.27	 3.84615384615385
tnip2	Actinopterygii	Gadus_morhua	58.15	 4.27956989247312
tnip2	Actinopterygii	Sparus_aurata	54.32	 3.81944444444444
tnip2	Actinopterygii	Archocentrus_centrarchus	51.75	 3.95238095238095
tnip2	Actinopterygii	Chanos_chanos	50.29	 3.73684210526316
tnip2	Actinopterygii	Sander_lucioperca	55.48	 4.13253012048193
tnip2	Actinopterygii	Oreochromis_aureus	52.80	 3.65789473684211
tnip2	Actinopterygii	Anarrhichthys_ocellatus	53.26	 3.88888888888889
tnip2	Actinopterygii	Etheostoma_spectabile	55.46	 4.05063291139241
tnip2	Actinopterygii	Xiphophorus_hellerii	62.21	 4.625
tnip2	Actinopterygii	Epinephelus_lanceolatus	55.29	 3.67105263157895
tnip2	Actinopterygii	Periophthalmus_magnuspinnatus	58.48	 4
tnip2	Actinopterygii	Pseudochaenichthys_georgianus	54.68	 3.69047619047619
tnip2	Actinopterygii	Trematomus_bernacchii	55.56	 3.7710843373494
tnip2	Actinopterygii	Thalassophryne_amazonica	56.22	 3.7741935483871
tnip2	Actinopterygii	Gymnodraco_acuticeps	55.16	 3.69047619047619
tnip2	Actinopterygii	Cyclopterus_lumpus	57.24	 4.14953271028037
tnip2	Actinopterygii	Hippoglossus_hippoglossus	58.24	 3.91304347826087
tnip2	Actinopterygii	Notolabrus_celidotus	52.79	 3.47945205479452
tnip2	Actinopterygii	Etheostoma_cragini	54.44	 4.06493506493506
tnip2	Actinopterygii	Hippoglossus_stenolepis	58.24	 3.8494623655914
tnip2	Actinopterygii	Anguilla_anguilla	53.56	 4.2
