Group	Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Aves	Aves	Piciformes	Indicator_indicator	Indicator_indicator	1286	29735	99890	117761	757249	4575	74730	92601	732089	21885	39756	679244	3473	642961	604787
Aves	Aves	Galliformes	Lagopus_leucura	Lagopus_leucura	0	15294	55323	67483	120636	370	40399	52559	105712	13955	26115	79268	1741	54894	796
Aves	Aves	Galliformes	Lagopus_muta	Lagopus_muta	327	15190	53060	64737	118967	221	38091	49768	103998	9508	21185	75415	447	54677	457
Aves	Aves	Passeriformes	Malurus_melanocephalus	Malurus_melanocephalus	654	14993	57926	71092	145938	252	43185	56351	131197	13709	26875	101721	1586	76432	14678
Aves	Aves	Passeriformes	Manacus_vitellinus	Manacus_vitellinus	263	16798	54939	78971	147263	1865	40006	64038	132330	9771	33803	102095	5762	74054	157
Aves	Aves	Psittaciformes	Melopsittacus_undulatus	Melopsittacus_undulatus	360	16423	60613	73895	144688	229	44419	57701	128494	13659	26941	97734	1759	72552	3904
Aves	Aves	Passeriformes	Molothrus_aeneus	Molothrus_aeneus	324	14600	55986	70747	140359	259	41645	56406	126018	12292	27053	96665	1873	71485	10119
Aves	Aves	Passeriformes	Molothrus_ater	Molothrus_ater	326	14625	55934	70702	10118367	284	41593	56361	10126355	12273	27041	10140654	1864	10181963	10196731
Aves	Aves	Passeriformes	Neopelma_chrysocephalum	Neopelma_chrysocephalum	1094	16298	59200	72550	134109	307	43209	56559	118118	13855	27205	88764	2005	63564	1960
Aves	Aves	Pelecaniformes	Nipponia_nippon	Nipponia_nippon	1417	18672	62503	78529	144515	2217	46048	62074	128060	14319	30345	96331	126	66112	2142
Aves	Aves	Tinamiformes	Nothoprocta_perdicaria	Nothoprocta_perdicaria	615	15237	53599	67255	129411	1662	40024	53680	115836	10818	24474	86630	1534	63690	1985
Aves	Aves	Galliformes	Numida_meleagris	Numida_meleagris	293	15010	53798	66263	117416	183	38971	51436	102589	10405	22870	74023	521	51674	97
Aves	Aves	Passeriformes	Oenanthe_melanoleuca	Oenanthe_melanoleuca	300	15529	56784	71153	931218	60	41315	55684	915749	12155	26524	886589	1758	861823	801598
Aves	Aves	Columbiformes	Patagioenas_fasciata	Patagioenas_fasciata	808	16159	59943	75698	137278	0	43583	59338	120918	13526	29281	90861	1922	63502	104
Aves	Aves	Cuculiformes	Phaenicophaeus_curvirostris	Phaenicophaeus_curvirostris	227	16635	65761	81582	7018489	309	49435	65256	7027330	19430	35251	7043738	3301	7092864	7108685
Aves	Aves	Suliformes	Phalacrocorax_carbo	Phalacrocorax_carbo	346	16360	62707	77911	143879	126	46473	61677	127645	13080	28284	94252	1975	67943	83
Aves	Aves	Galliformes	Phasianus_colchicus	Phasianus_colchicus	267	15229	53535	65767	118034	104	38410	50642	102909	9818	22050	74317	1788	54055	812
Aves	Aves	Passeriformes	Pipra_filicauda	Pipra_filicauda	252	15914	64553	78002	137353	341	48980	62429	121780	19455	32904	92255	1962	61313	1616
Aves	Aves	Passeriformes	Pithys_albifrons_albifrons	Pithys_albifrons_albifrons	312	15796	57647	72501	160693	269	42120	56974	145166	12221	27075	115267	1711	89903	29679
Aves	Aves	Passeriformes	Prinia_subflava	Prinia_subflava	264	15492	57261	71758	8339793	140	41909	56406	8347994	12481	26978	8363222	1801	8404991	8419488
Aves	Aves	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	246	15806	64281	79033	136573	264	48739	63491	121031	19273	34025	91565	1899	59439	1696
Aves	Aves	Rheiformes	Rhea_pennata	Rhea_pennata	388	17453	59118	76383	177978	248	41913	59178	160773	10765	28030	129625	2058	103653	173
Aves	Aves	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	368	17023	64523	79358	149783	233	47733	62568	132993	17032	31867	102292	2376	72801	167
Aves	Aves	Psittaciformes	Strigops_habroptila	Strigops_habroptila	352	17985	69587	78966	143596	0	51000	60379	125009	22844	32223	96853	1531	66161	392
Aves	Aves	Struthioniformes	Struthio_camelus	Struthio_camelus	405	18286	70066	96236	206838	0	51664	77834	188436	19052	45222	155824	3510	114112	173
Aves	Aves	Galliformes	Tympanuchus_pallidicinctus	Tympanuchus_pallidicinctus	287	15194	54580	66269	118791	240	39626	51315	103837	11117	22806	75328	1540	54062	53
Aves	Aves	Strigiformes	Tyto_alba	Tyto_alba	308	17582	63349	78635	143557	265	46032	61318	126240	16581	31867	96789	2313	67235	729
Chondrichthyes	Chondrichthyes	Rajiformes	Amblyraja_radiata	Amblyraja_radiata	1608	49106	230227	398575	706394	9664	190785	359133	855644	139515	307863	903142	30706	1084263	1252611
Chondrichthyes	Chondrichthyes	Orectolobiformes	Hemiscyllium_ocellatum	Hemiscyllium_ocellatum	1238	65999	381888	587075	1516258	7199	323088	528275	1881030	260506	465693	1945791	67607	2261680	2466867
Chondrichthyes	Chondrichthyes	Myliobatiformes	Hypanus_sabinus	Hypanus_sabinus	1372	130880	588556	902960	1855072	25322	482998	797402	2215565	404109	718513	2345073	114555	2802749	3117153
Chondrichthyes	Chondrichthyes	Rajiformes	Leucoraja_erinaceus	Leucoraja_erinaceus	2799	51929	224978	389544	672704	5778	178827	343393	814749	131117	295683	863879	27942	1036928	1201494
Chondrichthyes	Chondrichthyes	Myliobatiformes	Mobula_hypostoma	Mobula_hypostoma	22517	118280	509445	765867	1641622	20418	411583	668005	2034758	331124	587546	2130521	65716	2521686	2778108
Chondrichthyes	Chondrichthyes	Torpediniformes	Narcine_bancroftii	Narcine_bancroftii	23672	168846	507530	787609	2300985	71156	409840	689919	2767779	286965	567044	2912953	50277	3251637	3531716
Chondrichthyes	Chondrichthyes	Carangiformes	Pristiophorus_japonicus	Pristiophorus_japonicus	25585	113738	644219	964409	1889229	1192	531673	851863	2342533	469703	789893	2430686	119008	2961167	3281357
Chondrichthyes	Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	4030	58008	309167	513985	944973	10954	262113	466931	1194636	209771	414589	1248614	46656	1499773	1704591
Chondrichthyes	Chondrichthyes	Carcharhiniformes	Scyliorhinus_canicula	Scyliorhinus_canicula	10336	136250	695935	1020576	2171494	41948	601633	926274	2575565	486299	810940	2701479	118146	3261164	3585805
Chondrichthyes	Chondrichthyes	Orectolobiformes	Stegostoma_tigrinum	Stegostoma_tigrinum	0	36963	376769	566542	1174108	10836	350642	540415	1499878	292651	482424	1546361	50403	1886167	2075940
Squamata	Lepidosauria	Squamata	Anolis_carolinensis	Anolis_carolinensis	0	14667	44074	91828	166222	51	29458	77212	151606	987	48741	123135	3756	78150	1996
Squamata	Lepidosauria	Squamata	Anolis_sagrei	Anolis_sagrei	88	27994	82626	156434	262173	139	54771	128579	234318	5454	79262	185001	4788	110527	8024
Squamata	Lepidosauria	Squamata	Candoia_aspera	Candoia_aspera	11955	32235	86020	152971	211348	0	53403	120354	178731	4961	71912	130289	994	59371	354
Squamata	Lepidosauria	Squamata	Crotalus_tigris	Crotalus_tigris	0	13386	294742	267417	155627	0	281170	253845	142055	249169	221844	110054	135	27499	174
Squamata	Lepidosauria	Squamata	Elgaria_multicarinata_webbii	Elgaria_multicarinata_webbii	1926	36973	96390	200393	311569	819	60236	164239	275415	2912	106915	218091	2209	113385	5107
Squamata	Lepidosauria	Squamata	Erythrolamprus_reginae	Erythrolamprus_reginae	2410	20790	67985	114428	148291	0	47157	93600	127463	1327	47770	81633	387	34250	97
Squamata	Lepidosauria	Squamata	Eublepharis_macularius	Eublepharis_macularius	3545563	3573328	3614789	3706600	3833401	129	41590	133401	260202	6211	98022	224823	4028	130829	3171
Squamata	Lepidosauria	Squamata	Euleptes_europaea	Euleptes_europaea	9803	32168	77311	163257	311869	2182	47325	133271	281883	7227	93173	241785	5999	154611	4308
Squamata	Lepidosauria	Squamata	Hemicordylus_capensis	Hemicordylus_capensis	1700	20303	57738	115179	179603	87	37522	94963	159387	664	58105	122529	2564	66988	1276
Squamata	Lepidosauria	Squamata	Heteronotia_binoei	Heteronotia_binoei	9529	31346	91888	180704	353612	96	60638	149454	322362	5208	94024	266932	4620	177528	4978
Squamata	Lepidosauria	Squamata	Lacerta_agilis	Lacerta_agilis	7	18012	56250	116532	192629	0	38204	98486	174583	5563	65845	141942	1789	77886	1785
Squamata	Lepidosauria	Squamata	Notechis_scutatus	Notechis_scutatus	1399	24988	74448	143605	184378	0	49372	118529	159302	103	69260	110033	927	41700	165
Squamata	Lepidosauria	Squamata	Pantherophis_guttatus	Pantherophis_guttatus	2597	23010	75225	130599	196193	57	52272	107646	173240	4633	60007	125601	624	66218	164
Squamata	Lepidosauria	Squamata	Pituophis_catenifer_annectens	Pituophis_catenifer_annectens	2409	22705	97113	148025	209453	89	74497	125409	186837	23363	74275	135703	554	61982	192
Squamata	Lepidosauria	Squamata	Podarcis_raffonei	Podarcis_raffonei	0	19092	55787	112319	184052	0	36623	93155	164888	3314	59846	131579	1704	73437	1291
Squamata	Lepidosauria	Squamata	Pogona_vitticeps	Pogona_vitticeps	1069	11622	41035	72062	119796	1100	30513	61540	109274	3985	35012	82746	9343	57077	1257
Squamata	Lepidosauria	Squamata	Protobothrops_mucrosquamatus	Protobothrops_mucrosquamatus	728	15101	338247	306119	186252	641	323787	291659	171792	291711	259583	139716	1051	32402	274
Squamata	Lepidosauria	Squamata	Pseudonaja_textilis	Pseudonaja_textilis	1366	22509	63733	135569	172105	34	41258	113094	149630	2399	74235	110771	5801	42337	177
Squamata	Lepidosauria	Squamata	Rhineura_floridana	Rhineura_floridana	75	41291	112043	195231	357515	0	70513	153701	315985	5356	88544	250828	3599	165883	1752
Squamata	Lepidosauria	Squamata	Sphaerodactylus_townsendi	Sphaerodactylus_townsendi	331	16473	52575	134178	241623	0	35963	117566	225011	622	82225	189670	3936	111381	2442
Squamata	Lepidosauria	Squamata	Thamnophis_elegans	Thamnophis_elegans	1279	17446	57837	120894	164590	13	40404	103461	147157	0	62966	106662	540	44236	86
