Order	Species_name	Num_Gaps	EPHA5_CENPC	EPHA5_UBA6	EPHA5_YTHDC1	CENPC_UBA6	CENPC_YTHDC1	UBA6_YTHDC1
Carnivora	Prionailurus_bengalensis	0	1725900	1870656	2620368	63622	813334	660393
Carnivora	Prionailurus_viverrinus	0	1743508	1887955	2612820	63652	788517	637217
Anura	Pseudophryne_corroboree	0	2154195	3391158	8529006	481669	11119698	12356661
Passeriformes	Pseudopipra_pipra	0	342989	365284	493620	3733	132069	101330
Artiodactyla	Pseudorca_crassidens	0	1623066	1754757	2305446	40814	591503	472887
Anura	Ranitomeya_imitator	2	2487014	3052785	18750085	202196	21949687	22515458
Rheiformes	Rhea_pennata	0	387740	438431	568429	20409	150407	98874
Gymnophiona	Rhinatrema_bivittatum	7	3394614	3843087	4534660	225841	917414	328809
Squamata	Rhineura_floridana	0	636676	693897	1083594	8279	397976	310172
Chiroptera	Rhinolophus_ferrumequinum	1	1393519	1502347	2158690	52581	708924	586136
Primates	Rhinopithecus_roxellana	0	1656653	1803214	138847730	75328	140848905	140995466
Charadriiformes	Rissa_tridactyla	0	373751	408149	548019	7850	147720	110389
Chiroptera	Saccopteryx_bilineata	0	1864225	2014902	2791042	79295	855435	672170
Chiroptera	Saccopteryx_leptura	0	1741824	1880785	2633793	71705	824713	648545
Dasyuromorphia	Sarcophilus_harrisii	0	1820167	1952801	2724274	81186	852659	706720
Squamata	Sceloporus_undulatus	37	480155	512887	903573	7627	398313	356137
Rodentia	Sciurus_carolinensis	0	1631677	1772287	2549732	61443	838888	695672
Passeriformes	Serinus_canaria	0	339268	371239	496272	4053	129086	100261
Eulipotyphla	Sorex_araneus	0	1493642	1599518	2237574	57336	695392	563904
Anura	Spea_bombifrons	0	266344	341551	479445	61884	199778	111047
Squamata	Sphaerodactylus_townsendi	0	762261	804728	1339826	7308	542406	416616
Psittaciformes	Strigops_habroptila	0	333804	368613	500594	7762	139743	106149
Struthioniformes	Struthio_camelus	0	419064	471369	619442	19318	167391	111004
Eulipotyphla	Suncus_etruscus	0	1765083	1869646	2520281	52765	703400	582709
Carnivora	Suricata_suricatta	63	1643105	1785866	2442534	58750	715418	584379
Artiodactyla	Sus_scrofa	0	1634490	1779375	2482953	67855	771433	617460
Passeriformes	Sylvia_atricapilla	0	325169	357358	483297	4099	130038	101671
Primates	Symphalangus_syndactylus	0	1715963	1861411	2352926	66266	557781	406158
Monotremata	Tachyglossus_aculeatus	0	923848	1037726	1666483	54579	683336	559506
Passeriformes	Taeniopygia_guttata	1	325104	356980	482212	4058	129290	100760
Squamata	Thamnophis_elegans	0	327378	388169	714161	27621	353613	221545
Primates	Theropithecus_gelada	23	1816300	1963927	2609632	75492	721197	574669
Squamata	Tiliqua_scincoides	0	417968	462835	743029	7729	287923	225534
Carnivora	Ursus_arctos	0	1642352	1784685	2432936	56703	704954	564772
Passeriformes	Vidua_chalybeata	0	343308	375919	500997	4069	129147	100300
Passeriformes	Vidua_macroura	0	342312	374924	499915	4071	129062	100253
Carnivora	Vulpes_lagopus	0	1627406	1764564	2441280	58641	735357	593012
Anura	Xenopus_tropicalis	0	303163	396880	559323	37625	200068	119639
Carnivora	Zalophus_californianus	0	1669073	1817075	2527229	63900	774054	622415
Passeriformes	Zonotrichia_leucophrys	0	324286	356138	481455	4038	129355	100203
Squamata	Zootoca_vivipara	1	429982	461161	678339	5356	222534	178367
