Group	IL34_status	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	1	Artiodactyla	Capra_hircus	Capra_hircus	252	25657	133693	154405	38106819	267	108303	129015	38123580	69055	89767	38148985	1066	38257021	38277733
Mammalia	1	Rodentia	Cavia_porcellus	Cavia_porcellus	249	30353	140225	161628	271141	2455	112327	133730	243243	65668	87071	196584	2050	111563	7484
Mammalia	1	Perissodactyla	Ceratotherium_simum_simum	Ceratotherium_simum_simum	299	26062	148307	170361	279176	241	122486	144540	253355	70736	92790	201605	1707	110522	5630
Mammalia	1	Primates	Cercocebus_atys	Cercocebus_atys	296	42734	179896	207489	328868	0	136436	164029	285408	82091	109684	231063	7069	128448	6538
Mammalia	1	Artiodactyla	Cervus_canadensis	Cervus_canadensis	254	25302	140690	161105	30350465	218	115606	136021	30366328	76726	97141	30391376	1009	30506764	30527179
Mammalia	1	Artiodactyla	Cervus_elaphus	Cervus_elaphus	254	25288	141908	162322	36653296	215	116835	137249	36669140	77952	98366	36694174	942	36810794	36831208
Mammalia	1	Rodentia	Chinchilla_lanigera	Chinchilla_lanigera	4	29174	150854	172567	289276	215	121895	143608	260317	71875	93588	210297	5759	122468	10426
Mammalia	1	Rodentia	Chionomys_nivalis	Chionomys_nivalis	2	36437	137212	158030	276057	2640	103415	124233	242260	59460	80278	198305	928	118955	5865
Mammalia	1	Primates	Chlorocebus_sabaeus	Chlorocebus_sabaeus	299	40976	183765	210388	332013	237	143026	169649	291274	92349	118972	240597	1394	123019	6612
Mammalia	1	Pilosa	Choloepus_didactylus	Choloepus_didactylus	282	32079	172048	195599	321692	235	140204	163755	289848	73871	97422	223515	1236	127329	5465
