Group	Species_name	IL34_status	COG4-SF3B3	SF3B3-MTSS2	MTSS2-VAC14
Mammalia	Prionailurus_bengalensis	Intact	260	86675	1590
Mammalia	Prionailurus_viverrinus	Intact	287	86366	1546
Mammalia	Pseudorca_crassidens	Intact	255	64592	1489
Mammalia	Pteronotus_mesoamericanus	Intact	266	66791	1347
Mammalia	Rattus_norvegicus	Intact	239	68447	891
Mammalia	Rattus_rattus	Intact	219	66971	1178
Mammalia	Rhinolophus_ferrumequinum	Intact	223	64508	5809
Mammalia	Rhinopithecus_roxellana	Intact	232	83907	1375
Mammalia	Rousettus_aegyptiacus	Intact	240	62378	1304
Mammalia	Saccopteryx_bilineata	Intact	275	89427	1245
Mammalia	Saccopteryx_leptura	Intact	275	88527	1253
Mammalia	Sagmatias_obliquidens	Intact	267	64717	104
Mammalia	Saimiri_boliviensis	Intact	228	89622	1362
Mammalia	Sarcophilus_harrisii	Intact	436	119744	1858
Mammalia	Sciurus_carolinensis	Intact	247	77525	1317
Mammalia	Sorex_araneus	Intact	284	58721	1226
Mammalia	Sorex_fumeus	Intact	281	58597	1299
Mammalia	Suncus_etruscus	Intact	4016	66954	1207
Mammalia	Sus_scrofa	Intact	268	81708	1490
Mammalia	Symphalangus_syndactylus	Intact	0	86451	1645
Mammalia	Tachyglossus_aculeatus	Intact	114	70672	11012
Mammalia	Talpa_occidentalis	Intact	238	66649	119065
Mammalia	Trachypithecus_francoisi	Intact	223	79401	2030
Mammalia	Trichosurus_vulpecula	Intact	465	121507	2647
Mammalia	Tursiops_truncatus	Intact	257	64521	108
Mammalia	Ursus_americanus	Intact	224	61891	1574
Mammalia	Ursus_arctos	Intact	0	62458	1565
Mammalia	Vulpes_lagopus	Intact	253	78187	1208
Mammalia	Zalophus_californianus	Intact	181	68872	5745
Squamata	Anolis_carolinensis	Loss	51	987	3756
Squamata	Anolis_sagrei	Loss	139	5454	4788
Squamata	Candoia_aspera	Loss	0	4961	995
Squamata	Crotalus_tigris	Loss	0	249169	135
Squamata	Elgaria_multicarinata_webbii	Loss	1052	2912	2209
Squamata	Erythrolamprus_reginae	Loss	0	1327	387
Squamata	Eublepharis_macularius	Loss	129	6211	4028
Squamata	Euleptes_europaea	Loss	2182	7227	5999
Squamata	Hemicordylus_capensis	Loss	88	664	2565
Squamata	Heteronotia_binoei	Loss	96	5208	4620
Squamata	Lacerta_agilis	Loss	1113	5563	1789
Squamata	Pantherophis_guttatus	Loss	65	4633	624
Squamata	Pituophis_catenifer_annectens	Loss	89	23363	554
Squamata	Podarcis_raffonei	Loss	1158	3314	1704
Squamata	Rhineura_floridana	Loss	0	5356	3600
Squamata	Sphaerodactylus_townsendi	Loss	0	622	3936
Squamata	Thamnophis_elegans	Loss	13	0	712
Squamata	Zootoca_vivipara	Loss	375	2986	376
Testudines	Caretta_caretta	Intact	537	427511	34818
Testudines	Chelonia_mydas	Intact	45	458228	23974
Testudines	Chrysemys_picta_bellii	Intact	191	626723	19356
Testudines	Dermochelys_coriacea	Intact	752	474326	16311
Testudines	Emys_orbicularis	Intact	2607	1137980	20685
Testudines	Gopherus_evgoodei	Intact	248	477753	19313
Testudines	Gopherus_flavomarginatus	Intact	286	545561	17518
Testudines	Malaclemys_terrapin_pileata	Intact	286	503979	20371
Testudines	Mauremys_reevesii	Intact	0	415970	23364
