Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	Intact	Pilosa	Choloepus_didactylus	282	32079	172048	195599	321692	235	140204	163755	289848	73871	97422	223515	1236	127329	5465
Mammalia	Intact	Dermoptera	Cynocephalus_volans	267	25957	135422	162334	273163	355	109820	136732	247561	68739	95651	206480	5500	116329	5412
Mammalia	Intact	Artiodactyla	Dama_dama	158	25046	140606	160945	36609608	258	115818	136157	36625580	76856	97195	36650468	1133	36766028	36786367
Mammalia	Intact	Artiodactyla	Delphinapterus_leucas	300	28090	141519	161831	362087	259	113688	134000	334256	66911	87223	287479	1286	201542	102481
Mammalia	Intact	Chiroptera	Desmodus_rotundus	296	23808	132405	151056	249439	255	108852	127503	225886	67314	85965	184348	1268	99651	4577
Mammalia	Intact	Perissodactyla	Diceros_bicornis_minor	803	26577	147669	169755	279584	289	121381	143467	253296	70607	92693	202522	1777	111606	5702
Mammalia	Intact	Rodentia	Dipodomys_merriami	231	24753	120844	138102	233777	0	95863	113121	208796	55084	72342	168017	5297	100972	3270
Mammalia	Intact	Rodentia	Dipodomys_spectabilis	237	23856	119248	140927	234217	220	95612	117291	210581	53363	75042	168332	4749	98039	3333
Mammalia	Intact	Microbiotheria	Dromiciops_gliroides	0	33365	199375	242941	382376	500	166510	210076	349511	127845	171411	310846	2622	142057	9709
Mammalia	Intact	Proboscidea	Elephas_maximus_indicus	64	30375	167062	190328	387234	255	136942	160208	357114	82122	105388	302294	1421	198327	93619
Mammalia	Intact	Chiroptera	Eptesicus_fuscus	286	31302	155259	171822	270373	470	124427	140990	239541	75223	91786	190337	1765	100316	3110
Mammalia	Intact	Perissodactyla	Equus_asinus	0	24916	144924	167419	274110	210	120218	142713	249404	67633	90128	196819	1446	108137	1963
Mammalia	Intact	Perissodactyla	Equus_caballus	302	24951	144676	167254	319885	0	119709	142287	294918	67407	89985	242616	1452	154083	48235
Mammalia	Intact	Perissodactyla	Equus_przewalskii	302	24950	144701	167194	276257	0	119735	142228	251291	67432	89925	198988	1451	110514	4681
Mammalia	Intact		Erinaceus_europaeus	207	36232	185336	215036	351082	204	149308	179008	315054	100192	129892	265938	1018	137064	10008
Mammalia	Intact	Artiodactyla	Eschrichtius_robustus	296	27648	147087	168758	380946	279	119718	141389	353577	72138	93809	305997	1621	213809	113993
Mammalia	Intact	Artiodactyla	Eubalaena_glacialis	304	26938	147152	168537	370124	293	120507	141892	343479	73851	95236	296823	1694	203281	102809
Mammalia	Intact	Primates	Eulemur_rufifrons	342	28605	130080	151903	258756	2896	104371	126194	233047	58779	80602	187455	6380	113233	6838
Mammalia	Intact	Carnivora	Felis_catus	296	27887	165324	190586	297676	204	137641	162903	269993	67932	93194	200284	1570	108660	5914
Mammalia	Intact	Artiodactyla	Globicephala_melas	0	27978	139802	161553	394949	269	112093	133844	367240	65010	86761	320157	520	233916	134632
Mammalia	Intact	Primates	Gorilla_gorilla_gorilla	298	42596	185099	211434	331557	0	142273	168608	288731	93754	120089	240212	1609	121732	6113
Mammalia	Intact	Carnivora	Halichoerus_grypus	303	26997	138542	160937	264504	198	111743	134138	237705	68364	90759	194326	1562	105129	3040
