species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Nomascus_leucogenys	1	297	77682	174466	198578	318925	37798	134582	158694	279041	83863	107975	228322	1403	121750	6538
Numida_meleagris	1	293	15010	53798	66263	117416	183	38971	51436	102589	10405	22870	74023	521	51674	97
Nycticebus_coucang	1	288	37806	177892	205456	311790	242	140328	167892	274226	82811	110375	216709	1152	107486	7874
Ochotona_princeps	1	23	30062	136911	155126	251573	195	107044	125259	221706	63096	81311	177758	1641	98088	4304
Oenanthe_melanoleuca	1	300	15529	56784	71153	931218	60	41315	55684	915749	12155	26524	886589	1758	861823	801598
Orcinus_orca	1	300	27990	140868	163636	374740	240	113118	135886	346990	38971	61739	272843	145	211249	5031
Ornithorhynchus_anatinus	1	1603	32756	123457	166533	323178	76	90777	133853	290498	55089	98165	254810	8543	165188	4971
Oryctolagus_cuniculus	1	269	36353	164224	186948	292997	215	128086	150810	256859	66673	89397	195446	1238	107287	5342
Ovis_aries	1	254	25801	133377	154177	38179432	267	107843	128643	38195673	68577	89377	38221220	922	38328796	38349596
Ovis_canadensis	1	252	25947	135801	156745	38123257	222	110076	131020	38140251	70885	91829	38165946	1045	38275800	38296744
Pan_paniscus	1	296	42903	177492	203796	318483	0	134584	160888	275575	85932	112236	226923	1490	116177	902
Panthera_leo	1	0	25454	158263	183499	291529	78	132887	158123	266153	85341	110577	218607	522	108552	5899
Panthera_onca	1	296	28062	142913	167966	275320	219	115070	140123	247477	61718	86771	194125	1437	108791	5892
Panthera_tigris	1	0	25669	159028	184222	292915	80	133439	158633	267326	85603	110797	219490	522	109215	6151
Pan_troglodytes	1	298	43148	178169	204476	324544	198	135219	161526	281594	86566	112873	232941	1425	121493	6250
Papio_anubis	1	295	42531	178351	204988	328623	228	136048	162685	286320	81064	107701	231336	1418	125053	7173
Pelobates_fuscus	1	769	43482	159206	246765	337738	485	116209	203768	294741	94443	182002	272975	9441	100414	6077
Perognathus_longimembris	1	213	21299	104799	122108	213873	232	83732	101041	192806	40186	57495	149260	1339	93104	3278
Peromyscus_eremicus	1	277	41561	140917	163645	288040	219	99575	122303	246698	59846	82574	206969	1639	126034	9852
Peromyscus_leucopus	1	274	40402	143431	165462	290777	207	103236	125267	250582	62849	84880	210195	1116	126431	10135
Peromyscus_maniculatus	1	274	41260	143768	166452	292613	24	102532	125216	251377	62450	85134	211295	1292	127453	10338
Phacochoerus_africanus	1	294	30899	166139	189520	396728	236	135476	158857	366065	80651	104032	311240	1336	208544	102749
Phaenicophaeus_curvirostris	1	227	16635	65761	81582	7018489	309	49435	65256	7027330	19430	35251	7043738	3301	7092864	7108685
Phocoena_phocoena	1	787	28800	142403	162616	560241	323	113926	134139	531764	66623	86836	484461	1689	399314	299712
Phocoena_sinus	1	300	28061	139673	162398	380355	281	111893	134618	352575	64352	87077	305034	1460	219417	120069
Phyllostomus_discolor	1	295	26090	134267	152866	249699	232	108409	127008	223841	65912	84511	181344	1388	98221	3422
Piliocolobus_tephrosceles	1	6178	42716	184397	211189	333858	232	141913	168705	291374	88979	115771	238440	6443	129112	6559
Pithys_albifrons	1	312	15796	57647	72501	160693	269	42120	56974	145166	12221	27075	115267	1711	89903	29679
Pleurodeles_waltl	1	5941	246251	1720259	2331132	3686574	290	1474298	2085171	3440613	1131404	1742277	3097719	301506	1656948	110273
Podarcis_raffonei	0	0	19092	55787	112319	184052	0	36623	93155	164888	3314	59846	131579	1704	73437	1291
Polypterus_senegalus	1	92	36463	35398595	35690235	14290049	8272	35370404	35662044	14261858	35332496	35624136	14223950	28855	20699250	20990890
Pongo_abelii	1	300	43591	176141	202629	320412	275	132825	159313	277096	84256	110744	228527	1536	119319	825
Pongo_pygmaeus	1	300	43352	176319	202823	322176	2	132969	159473	278826	84263	110767	230120	1389	120742	6194
Prinia_subflava	1	264	15492	57261	71758	8339793	140	41909	56406	8347994	12481	26978	8363222	1801	8404991	8419488
Prionailurus_bengalensis	1	296	27856	162458	187786	295071	243	134845	160173	267458	86675	112003	219288	1514	108799	4859
Prionailurus_viverrinus	1	299	28386	163418	188714	296240	269	135301	160597	268123	86366	111662	219188	1546	109072	5147
Pristiophorus_japonicus	1	25585	113738	644219	964409	1889229	1192	531673	851863	2342533	469703	789893	2430686	119008	2961167	3281357
Pristis_pectinata	1	4030	58008	309167	513985	944973	10954	262113	466931	1194636	209771	414589	1248614	46656	1499773	1704591
Protopterus_annectens	1	317347	1190683	8745237	10264795	14608231	60	10918544	12438102	16781538	11791880	13311438	17654874	276601	4620037	952315
Pseudophryne_corroboree	1	0	117634	457223	785503	930677	0	339512	667792	812966	316681	644961	790135	150196	295370	38370
Pseudopipra_pipra	1	246	15806	64281	79033	136573	264	48739	63491	121031	19273	34025	91565	1899	59439	1696
Pseudorca_crassidens	1	300	28011	140846	163607	375947	255	113090	135851	348191	64592	87353	299693	1489	213829	4926
Rana_temporaria	1	0	20062	172033	265834	324033	81	152052	245853	304052	116660	210461	268660	22674	80873	4058
Ranitomeya_imitator	1	0	44883	113196	239379	270018	10	68323	194506	225145	54842	181025	211664	56478	87117	1057
Rattus_norvegicus	1	0	14107	119792	142457	251087	215	105900	128565	237195	68170	90835	199465	891	109521	7303
Rhea_pennata	1	388	17453	59118	76383	177978	248	41913	59178	160773	10765	28030	129625	2058	103653	173
Rhinatrema_bivittatum	1	10	154553	27341531	27686905	28239880	192	27187170	27532544	28085519	26938997	27284371	27837346	74015	626990	27974
Rhineura_floridana	0	75	41291	112043	195231	357515	0	70513	153701	315985	5356	88544	250828	3599	165883	1752
Rhinolophus_ferrumequinum	1	142	25192	128885	151672	251441	223	103916	126703	226472	64506	87293	187062	1198	100967	5864
Rhinopithecus_roxellana	1	297	41135	178132	204179	327505	232	137229	163276	286602	83907	109954	233280	1375	124701	6756
Rissa_tridactyla	1	368	17023	64523	79358	149783	233	47733	62568	132993	17032	31867	102292	2376	72801	167
Saccopteryx_bilineata	1	1739	36935	170947	188808	295141	275	134287	152148	258481	89427	107288	213621	1245	107578	6828
Saccopteryx_leptura	1	1486	34629	171823	189894	298933	275	137469	155540	264579	88527	106598	215637	1253	110292	5931
Sarcophilus_harrisii	1	186	32194	183326	220820	339992	436	151568	189062	308234	119744	157238	276410	1857	121029	10754
Sciurus_carolinensis	1	0	8404	133586	155209	263935	247	125429	147052	255778	77525	99148	207874	1317	110043	5703
Scyliorhinus_canicula	1	10336	136250	695935	1020576	2171494	41948	601633	926274	2575565	486299	810940	2701479	118146	3261164	3585805
Sorex_araneus	1	120	21308	120843	139343	204712	284	99819	118319	183688	58721	77221	142590	1226	66595	15173
