Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
C11orf74	Reptilia	Testudines	Chelonoidis_abingdonii	232901	565727	0.411684 RAG2	RAG2
C11orf74	Reptilia	Testudines	Chrysemys_picta	246201	565727	0.435194 RAG2	RAG2
C11orf74	Aves	Galliformes	Coturnix_japonica	500539	565727	0.884771 RAG2	RAG2
C11orf74	Reptilia	Crocodylia	Crocodylus_porosus	196458	565727	0.347266 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Eublepharis_macularius	58545	565727	0.103486 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Euleptes_europaea	61416	565727	0.108561 RAG2	RAG2
C11orf74	Aves	Passeriformes	Ficedula_albicollis	435817	565727	0.770366 RAG2	RAG2
C11orf74	Aves	Passeriformes	Geospiza_fortis	437424	565727	0.773207 RAG2	RAG2
C11orf74	Reptilia	Testudines	Gopherus_evgoodei	232681	565727	0.411296 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Laticauda_laticaudata	17984	565727	0.0317892 RAG2	RAG2
C11orf74	Actinistia	Coelacanthiformes	Latimeria_chalumnae	5085	565727	0.00898843 RAG2	RAG2
C11orf74	Aves	Galliformes	Meleagris_gallopavo	538669	565727	0.952171 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Naja_naja	19169	565727	0.0338838 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Notechis_scutatus	20568	565727	0.0363568 RAG2	RAG2
C11orf74	Aves	Passeriformes	Parus_major	435771	565727	0.770285 RAG2	RAG2
C11orf74	Reptilia	Testudines	Pelodiscus_sinensis	173384	565727	0.30648 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Podarcis_muralis	52548	565727	0.0928858 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Podarcis_raffonei	64691	565727	0.11435 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zw	47988	565727	0.0848254 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zz	53511	565727	0.094588 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Pseudonaja_textilis	19938	565727	0.0352431 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Rhineura_floridana	60353	565727	0.106682 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Salvator_merianae	33605	565727	0.0594014 RAG2	RAG2
C11orf74	Aves	Passeriformes	Serinus_canaria	438052	565727	0.774317 RAG2	RAG2
C11orf74	Lepidosauria	Sphenodontia	Sphenodon_punctatus	98950	565727	0.174908 RAG2	RAG2
C11orf74	Aves	Psittaciformes	Strigops_habroptila	173342	565727	0.306406 RAG2	RAG2
C11orf74	Aves	Struthioniformes	Struthio_camelus	487163	565727	0.861127 RAG2	RAG2
