Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	right_gene
CAV3	Reptilia	Crocodylia	Crocodylus_porosus	1431	4584	0.312173 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Eublepharis_macularius	1394	4584	0.304101 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Euleptes_europaea	1299	4584	0.283377 OXTR	OXTR
CAV3	Aves	Passeriformes	Ficedula_albicollis	3340	4584	0.728621 OXTR	OXTR
CAV3	Aves	Passeriformes	Geospiza_fortis	3655	4584	0.797339 OXTR	OXTR
CAV3	Reptilia	Testudines	Gopherus_evgoodei	1715	4584	0.374127 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Laticauda_laticaudata	1132	4584	0.246946 OXTR	OXTR
CAV3	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1139	4584	0.248473 OXTR	OXTR
CAV3	Aves	Galliformes	Meleagris_gallopavo	3731	4584	0.813918 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Naja_naja	1082	4584	0.236038 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Notechis_scutatus	1132	4584	0.246946 OXTR	OXTR
CAV3	Aves	Passeriformes	Parus_major	3905	4584	0.851876 OXTR	OXTR
CAV3	Reptilia	Testudines	Pelodiscus_sinensis	1384	4584	0.30192 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Podarcis_muralis	1281	4584	0.27945 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Podarcis_raffonei	1362	4584	0.29712 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zw	1293	4584	0.282068 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zz	1303	4584	0.28425 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Pseudonaja_textilis	1132	4584	0.246946 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Rhineura_floridana	1402	4584	0.305846 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Salvator_merianae	1196	4584	0.260908 OXTR	OXTR
CAV3	Aves	Passeriformes	Serinus_canaria	3687	4584	0.804319 OXTR	OXTR
CAV3	Lepidosauria	Sphenodontia	Sphenodon_punctatus	1355	4584	0.295593 OXTR	OXTR
CAV3	Aves	Psittaciformes	Strigops_habroptila	3915	4584	0.854058 OXTR	OXTR
CAV3	Aves	Struthioniformes	Struthio_camelus	2684	4584	0.585515 OXTR	OXTR
CAV3	Aves	Passeriformes	Taeniopygia_guttata	3979	4584	0.868019 OXTR	OXTR
CAV3	Reptilia	Testudines	Terrapene_carolina	1788	4584	0.390052 OXTR	OXTR
CYYR1	Aves	Anseriformes	Anas_platyrhynchos	7231	7318	0.988112 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Anolis_carolinensis	5058	7318	0.691172 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Anolis_sagrei	5180	7318	0.707844 ADAMTS1	ADAMTS1
CYYR1	Aves	Anseriformes	Anser_brachyrhynchus	7262	7318	0.992348 ADAMTS1	ADAMTS1
CYYR1	Aves	Accipitriformes	Aquila_chrysaetos	7262	7318	0.992348 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Testudines	Chelonoidis_abingdonii	7066	7318	0.965564 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Testudines	Chrysemys_picta	7051	7318	0.963515 ADAMTS1	ADAMTS1
CYYR1	Aves	Galliformes	Coturnix_japonica	7318	7318	1 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Crocodylia	Crocodylus_porosus	6598	7318	0.901612 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Eublepharis_macularius	5878	7318	0.803225 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Euleptes_europaea	5710	7318	0.780268 ADAMTS1	ADAMTS1
CYYR1	Aves	Passeriformes	Ficedula_albicollis	6109	7318	0.834791 ADAMTS1	ADAMTS1
CYYR1	Aves	Passeriformes	Geospiza_fortis	7032	7318	0.960918 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Testudines	Gopherus_evgoodei	6882	7318	0.940421 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Laticauda_laticaudata	5046	7318	0.689533 ADAMTS1	ADAMTS1
CYYR1	Actinistia	Coelacanthiformes	Latimeria_chalumnae	3004	7318	0.410495 ADAMTS1	ADAMTS1
CYYR1	Aves	Galliformes	Meleagris_gallopavo	7096	7318	0.969664 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Naja_naja	4558	7318	0.622848 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Notechis_scutatus	4674	7318	0.638699 ADAMTS1	ADAMTS1
CYYR1	Aves	Passeriformes	Parus_major	7064	7318	0.965291 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Testudines	Pelodiscus_sinensis	6750	7318	0.922383 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Podarcis_muralis	5177	7318	0.707434 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Podarcis_raffonei	5228	7318	0.714403 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zw	5511	7318	0.753075 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zz	5313	7318	0.726018 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Pseudonaja_textilis	5046	7318	0.689533 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Rhineura_floridana	5293	7318	0.723285 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Squamata	Salvator_merianae	4684	7318	0.640066 ADAMTS1	ADAMTS1
CYYR1	Aves	Passeriformes	Serinus_canaria	7215	7318	0.985925 ADAMTS1	ADAMTS1
CYYR1	Lepidosauria	Sphenodontia	Sphenodon_punctatus	5669	7318	0.774665 ADAMTS1	ADAMTS1
CYYR1	Aves	Psittaciformes	Strigops_habroptila	7189	7318	0.982372 ADAMTS1	ADAMTS1
CYYR1	Aves	Struthioniformes	Struthio_camelus	7229	7318	0.987838 ADAMTS1	ADAMTS1
CYYR1	Aves	Passeriformes	Taeniopygia_guttata	7036	7318	0.961465 ADAMTS1	ADAMTS1
CYYR1	Reptilia	Testudines	Terrapene_carolina	7061	7318	0.964881 ADAMTS1	ADAMTS1
DIP2A	Aves	Anseriformes	Anas_platyrhynchos	1849	1947	0.949666 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Anolis_carolinensis	705	1947	0.362096 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Anolis_sagrei	649	1947	0.333333 LOC121113397	LOC121113397
DIP2A	Aves	Anseriformes	Anser_brachyrhynchus	1849	1947	0.949666 LOC121113397	LOC121113397
DIP2A	Aves	Accipitriformes	Aquila_chrysaetos	1500	1947	0.770416 LOC121113397	LOC121113397
DIP2A	Reptilia	Testudines	Chelonoidis_abingdonii	714	1947	0.366718 LOC121113397	LOC121113397
DIP2A	Reptilia	Testudines	Chrysemys_picta	829	1947	0.425783 LOC121113397	LOC121113397
DIP2A	Aves	Galliformes	Coturnix_japonica	1939	1947	0.995891 LOC121113397	LOC121113397
DIP2A	Reptilia	Crocodylia	Crocodylus_porosus	694	1947	0.356446 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Eublepharis_macularius	662	1947	0.34001 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Euleptes_europaea	485	1947	0.249101 LOC121113397	LOC121113397
DIP2A	Aves	Passeriformes	Ficedula_albicollis	1103	1947	0.566513 LOC121113397	LOC121113397
DIP2A	Aves	Passeriformes	Geospiza_fortis	1134	1947	0.582435 LOC121113397	LOC121113397
DIP2A	Reptilia	Testudines	Gopherus_evgoodei	782	1947	0.401644 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Laticauda_laticaudata	591	1947	0.303544 LOC121113397	LOC121113397
DIP2A	Actinistia	Coelacanthiformes	Latimeria_chalumnae	590	1947	0.30303 LOC121113397	LOC121113397
DIP2A	Aves	Galliformes	Meleagris_gallopavo	1941	1947	0.996918 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Naja_naja	503	1947	0.258346 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Notechis_scutatus	651	1947	0.334361 LOC121113397	LOC121113397
DIP2A	Aves	Passeriformes	Parus_major	1783	1947	0.915768 LOC121113397	LOC121113397
DIP2A	Reptilia	Testudines	Pelodiscus_sinensis	705	1947	0.362096 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Podarcis_muralis	608	1947	0.312275 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Podarcis_raffonei	608	1947	0.312275 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zw	689	1947	0.353878 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zz	771	1947	0.395994 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Pseudonaja_textilis	591	1947	0.303544 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Rhineura_floridana	593	1947	0.304571 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Squamata	Salvator_merianae	619	1947	0.317925 LOC121113397	LOC121113397
DIP2A	Aves	Passeriformes	Serinus_canaria	1104	1947	0.567026 LOC121113397	LOC121113397
DIP2A	Lepidosauria	Sphenodontia	Sphenodon_punctatus	641	1947	0.329224 LOC121113397	LOC121113397
DIP2A	Aves	Psittaciformes	Strigops_habroptila	1586	1947	0.814587 LOC121113397	LOC121113397
DIP2A	Aves	Struthioniformes	Struthio_camelus	1835	1947	0.942476 LOC121113397	LOC121113397
DIP2A	Aves	Passeriformes	Taeniopygia_guttata	1097	1947	0.563431 LOC121113397	LOC121113397
DIP2A	Reptilia	Testudines	Terrapene_carolina	906	1947	0.465331 LOC121113397	LOC121113397
DLEU7	Aves	Anseriformes	Anas_platyrhynchos	49424	55903	0.884103 RNASEH2B	RNASEH2B
DLEU7	Lepidosauria	Squamata	Anolis_carolinensis	1376	55903	0.0246141 RNASEH2B	RNASEH2B
DLEU7	Lepidosauria	Squamata	Anolis_sagrei	1724	55903	0.0308391 RNASEH2B	RNASEH2B
DLEU7	Aves	Anseriformes	Anser_brachyrhynchus	49097	55903	0.878253 RNASEH2B	RNASEH2B
DLEU7	Aves	Accipitriformes	Aquila_chrysaetos	50326	55903	0.900238 RNASEH2B	RNASEH2B
DLEU7	Reptilia	Testudines	Chelonoidis_abingdonii	26125	55903	0.467327 RNASEH2B	RNASEH2B
DLEU7	Reptilia	Testudines	Chrysemys_picta	23356	55903	0.417795 RNASEH2B	RNASEH2B
DLEU7	Aves	Galliformes	Coturnix_japonica	49000	55903	0.876518 RNASEH2B	RNASEH2B
DLEU7	Reptilia	Crocodylia	Crocodylus_porosus	24847	55903	0.444466 RNASEH2B	RNASEH2B
DLEU7	Lepidosauria	Squamata	Eublepharis_macularius	1951	55903	0.0348997 RNASEH2B	RNASEH2B
DLEU7	Lepidosauria	Squamata	Euleptes_europaea	1846	55903	0.0330215 RNASEH2B	RNASEH2B
DLEU7	Aves	Passeriformes	Ficedula_albicollis	46106	55903	0.82475 RNASEH2B	RNASEH2B
DLEU7	Aves	Passeriformes	Geospiza_fortis	45925	55903	0.821512 RNASEH2B	RNASEH2B
DLEU7	Reptilia	Testudines	Gopherus_evgoodei	25595	55903	0.457847 RNASEH2B	RNASEH2B
DLEU7	Lepidosauria	Squamata	Laticauda_laticaudata	1407	55903	0.0251686 RNASEH2B	RNASEH2B
DLEU7	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1106	55903	0.0197843 RNASEH2B	RNASEH2B
