focal_gene	species_name	class	order	Left	Focal	Right
CYYR1	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.918775	0.828092	0.928339
CYYR1	Meleagris_gallopavo	Aves	Galliformes	0.9747	1	1
CYYR1	Naja_naja	Lepidosauria	Squamata	0.9747	0	1
CYYR1	Notechis_scutatus	Lepidosauria	Squamata	0.9747	0	1
CYYR1	Parus_major	Aves	Passeriformes	1	0	1
CYYR1	Pelodiscus_sinensis	Reptilia	Testudines	0.9747	0.828092	1
CYYR1	Podarcis_muralis	Lepidosauria	Squamata	0.9747	0.222222	0.994933
CYYR1	Podarcis_raffonei	Lepidosauria	Squamata	1	0.222222	0.989142
CYYR1	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.970262	0.222222	1
CYYR1	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.9747	0.230608	1
CYYR1	Pseudonaja_textilis	Lepidosauria	Squamata	0.9747	0	1
CYYR1	Rhineura_floridana	Lepidosauria	Squamata	1	0.553459	0.990952
CYYR1	Salvator_merianae	Lepidosauria	Squamata	0.884598	0.222222	0.991314
CYYR1	Serinus_canaria	Aves	Passeriformes	1	0.828092	0.963446
CYYR1	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.9747	0.828092	1
CYYR1	Strigops_habroptila	Aves	Psittaciformes	1	1	1
CYYR1	Struthio_camelus	Aves	Struthioniformes	0.9747	0.828092	1
CYYR1	Taeniopygia_guttata	Aves	Passeriformes	1	0	1
CYYR1	Terrapene_carolina	Reptilia	Testudines	1	0.828092	1
DIP2A	Anas_platyrhynchos	Aves	Anseriformes	1	0.950685	1
DIP2A	Anolis_carolinensis	Lepidosauria	Squamata	0.98913	0.878453	1
DIP2A	Anolis_sagrei	Lepidosauria	Squamata	0.967391	0.893391	1
DIP2A	Anser_brachyrhynchus	Aves	Anseriformes	1	0.970534	1
DIP2A	Aquila_chrysaetos	Aves	Accipitriformes	1	0.970534	1
DIP2A	Chelonoidis_abingdonii	Reptilia	Testudines	1	0.970534	1
DIP2A	Chrysemys_picta	Reptilia	Testudines	1	0.970534	1
DIP2A	Coturnix_japonica	Aves	Galliformes	1	1	1
DIP2A	Crocodylus_porosus	Reptilia	Crocodylia	1	0.970534	0.977912
DIP2A	Eublepharis_macularius	Lepidosauria	Squamata	0.931159	0.906487	0.955823
DIP2A	Euleptes_europaea	Lepidosauria	Squamata	0.923913	0.913239	0.903614
DIP2A	Ficedula_albicollis	Aves	Passeriformes	1	0.950685	1
DIP2A	Geospiza_fortis	Aves	Passeriformes	1	0.950685	1
DIP2A	Gopherus_evgoodei	Reptilia	Testudines	1	0.970534	1
DIP2A	Laticauda_laticaudata	Lepidosauria	Squamata	0.894928	0.852261	1
DIP2A	Latimeria_chalumnae	Actinistia	Coelacanthiformes	1	0.949458	1
DIP2A	Meleagris_gallopavo	Aves	Galliformes	1	1	1
DIP2A	Naja_naja	Lepidosauria	Squamata	0.978261	0.863515	0.965863
DIP2A	Notechis_scutatus	Lepidosauria	Squamata	0.894928	0.864129	1
DIP2A	Parus_major	Aves	Passeriformes	0.963768	0.970534	1
DIP2A	Pelodiscus_sinensis	Reptilia	Testudines	1	0.950685	0.963855
DIP2A	Podarcis_muralis	Lepidosauria	Squamata	0.978261	0.895028	1
DIP2A	Podarcis_raffonei	Lepidosauria	Squamata	0.978261	0.910579	1
DIP2A	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.978261	0.929814	1
DIP2A	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.978261	0.921424	1
DIP2A	Pseudonaja_textilis	Lepidosauria	Squamata	0.916667	0.864129	1
DIP2A	Rhineura_floridana	Lepidosauria	Squamata	0.942029	0.889503	1
DIP2A	Salvator_merianae	Lepidosauria	Squamata	0.927536	0.868631	1
DIP2A	Serinus_canaria	Aves	Passeriformes	1	0.950685	1
DIP2A	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.865942	0.896665	1
DIP2A	Strigops_habroptila	Aves	Psittaciformes	1	0.970534	1
DIP2A	Struthio_camelus	Aves	Struthioniformes	1	0.950685	1
DIP2A	Taeniopygia_guttata	Aves	Passeriformes	1	0.970534	1
DIP2A	Terrapene_carolina	Reptilia	Testudines	1	0.970534	1
DLEU7	Anas_platyrhynchos	Aves	Anseriformes	0	1	1
DLEU7	Anolis_carolinensis	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Anolis_sagrei	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
DLEU7	Aquila_chrysaetos	Aves	Accipitriformes	0.468182	1	1
DLEU7	Chelonoidis_abingdonii	Reptilia	Testudines	0.12197	1	1
DLEU7	Chrysemys_picta	Reptilia	Testudines	0.126515	1	1
DLEU7	Coturnix_japonica	Aves	Galliformes	1	1	1
DLEU7	Crocodylus_porosus	Reptilia	Crocodylia	0.55303	1	1
DLEU7	Eublepharis_macularius	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Euleptes_europaea	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Ficedula_albicollis	Aves	Passeriformes	0.318182	1	0.93051
DLEU7	Geospiza_fortis	Aves	Passeriformes	0.517424	1	0.93051
DLEU7	Gopherus_evgoodei	Reptilia	Testudines	0.12197	1	1
DLEU7	Laticauda_laticaudata	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.0356061	0	0.876221
DLEU7	Meleagris_gallopavo	Aves	Galliformes	0.552273	1	1
DLEU7	Naja_naja	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Notechis_scutatus	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Parus_major	Aves	Passeriformes	0.165152	1	1
DLEU7	Pelodiscus_sinensis	Reptilia	Testudines	0.309091	1	0.883822
DLEU7	Podarcis_muralis	Lepidosauria	Squamata	0	0	0.201954
DLEU7	Podarcis_raffonei	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Pogona_vitticeps_zw	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Pogona_vitticeps_zz	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Pseudonaja_textilis	Lepidosauria	Squamata	0	0	0.93051
DLEU7	Rhineura_floridana	Lepidosauria	Squamata	0	0	0.859935
DLEU7	Salvator_merianae	Lepidosauria	Squamata	0	0	0.883822
DLEU7	Serinus_canaria	Aves	Passeriformes	0.528788	1	1
DLEU7	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.0424242	1	0.883822
DLEU7	Strigops_habroptila	Aves	Psittaciformes	0.509091	1	1
DLEU7	Struthio_camelus	Aves	Struthioniformes	0.192424	1	0.93051
DLEU7	Taeniopygia_guttata	Aves	Passeriformes	0.528788	1	1
DLEU7	Terrapene_carolina	Reptilia	Testudines	0.12197	1	1
DNM3	Anas_platyrhynchos	Aves	Anseriformes	1	1	1
DNM3	Anolis_carolinensis	Lepidosauria	Squamata	0.986532	0.745098	0.876093
DNM3	Anolis_sagrei	Lepidosauria	Squamata	0.986532	0.855392	0.9655
DNM3	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
DNM3	Aquila_chrysaetos	Aves	Accipitriformes	1	0.94888	1
DNM3	Chelonoidis_abingdonii	Reptilia	Testudines	1	0.94888	1
DNM3	Chrysemys_picta	Reptilia	Testudines	1	0.94888	0.99757
DNM3	Coturnix_japonica	Aves	Galliformes	1	1	1
DNM3	Crocodylus_porosus	Reptilia	Crocodylia	1	0.92402	1
DNM3	Eublepharis_macularius	Lepidosauria	Squamata	1	0.854342	0.995627
DNM3	Euleptes_europaea	Lepidosauria	Squamata	1	0.854342	0.993197
DNM3	Ficedula_albicollis	Aves	Passeriformes	1	0.94888	0.975219
DNM3	Geospiza_fortis	Aves	Passeriformes	1	0.94888	0.932459
DNM3	Gopherus_evgoodei	Reptilia	Testudines	1	0.94888	1
DNM3	Laticauda_laticaudata	Lepidosauria	Squamata	1	0.744748	0.992711
DNM3	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.958474	0.768908	0.990282
DNM3	Meleagris_gallopavo	Aves	Galliformes	1	0.981443	1
DNM3	Naja_naja	Lepidosauria	Squamata	1	0.744748	0.867833
DNM3	Notechis_scutatus	Lepidosauria	Squamata	1	0.744748	0.995141
DNM3	Parus_major	Aves	Passeriformes	1	0.94888	1
DNM3	Pelodiscus_sinensis	Reptilia	Testudines	0.592593	0.838936	0.919339
DNM3	Podarcis_muralis	Lepidosauria	Squamata	0.991021	0.718487	0.982507
DNM3	Podarcis_raffonei	Lepidosauria	Squamata	0.991021	0.858543	0.982507
DNM3	Pogona_vitticeps_zw	Lepidosauria	Squamata	1	0.844888	0.98688
DNM3	Pogona_vitticeps_zz	Lepidosauria	Squamata	1	0.862045	0.98931
DNM3	Pseudonaja_textilis	Lepidosauria	Squamata	1	0.7493	0.983965
DNM3	Rhineura_floridana	Lepidosauria	Squamata	0.982043	0.85049	0.980078
DNM3	Salvator_merianae	Lepidosauria	Squamata	0.998878	0.764356	0.957726
DNM3	Serinus_canaria	Aves	Passeriformes	1	0.94888	1
DNM3	Sphenodon_punctatus	Lepidosauria	Sphenodontia	1	0.858543	1
DNM3	Strigops_habroptila	Aves	Psittaciformes	0.987654	0.94888	1
DNM3	Struthio_camelus	Aves	Struthioniformes	1	0.94888	1
DNM3	Taeniopygia_guttata	Aves	Passeriformes	1	0.94888	1
DNM3	Terrapene_carolina	Reptilia	Testudines	1	0.938725	0.99757
ELOVL3	Anas_platyrhynchos	Aves	Anseriformes	1	1	1
ELOVL3	Anolis_carolinensis	Lepidosauria	Squamata	0.756156	0.755291	1
ELOVL3	Anolis_sagrei	Lepidosauria	Squamata	0.756156	0.755291	1
ELOVL3	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
ELOVL3	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
ELOVL3	Chelonoidis_abingdonii	Reptilia	Testudines	0.954955	1	1
ELOVL3	Chrysemys_picta	Reptilia	Testudines	0.954955	1	1
ELOVL3	Coturnix_japonica	Aves	Galliformes	1	1	1
ELOVL3	Crocodylus_porosus	Reptilia	Crocodylia	0.954955	0.715608	1
ELOVL3	Eublepharis_macularius	Lepidosauria	Squamata	0.954955	0.996032	1
ELOVL3	Euleptes_europaea	Lepidosauria	Squamata	0.769369	0.96164	1
