Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Aves	Galliformes	Gallus_gallus	Gallus_gallus	16674	19627	65383	118040	209334	639	46395	99052	190346	42104	94761	186055	50445	141739	88953	
Aves	Gaviiformes	Gavia_stellata	Gavia_stellata	19168	21946	79153	148197	286060	509	57716	126760	264623	53555	122599	260462	66907	204770	135522	
Amphibia	Gymnophiona	Geotrypetes_seraphini	Geotrypetes_seraphini	355323	357963	1232641	1713704	3432679	296	874974	1356037	3075012	871026	1352089	3071064	478797	2197772	1716628	
Mammalia	Artiodactyla	Globicephala_melas	Globicephala_melas	40112	42881	173361	272377	829998	485	130965	229981	787602	126828	225844	783465	96774	654395	555271	
	Testudines	Gopherus_flavomarginatus	Gopherus_flavomarginatus	67732	70538	552516	775937	1160152	462	623627	847048	1231263	626433	849854	1234069	221134	605349	381763	
Mammalia	Primates	Gorilla_gorilla	Gorilla_gorilla	62470	65295	229652	344998	759816	457	164814	280160	694978	160705	276051	690869	113038	527856	412471	
Mammalia	Didelphimorphia	Gracilinanus_agilis	Gracilinanus_agilis	56786	65953	249202	394880	813700	6871	190120	335798	754618	179597	325275	744095	143547	562367	416641	
Aves	Gruiformes	Grus_americana	Grus_americana	18011	20793	76706	140675	289032	438	56351	120320	268677	52261	116230	264587	61832	210189	146016	
Aves	Accipitriformes	Gymnogyps_californianus	Gymnogyps_californianus	17029	21842	79680	147179	281293	2871	60709	128208	262322	54186	121685	255799	65260	199374	131770	
Aves	Apodiformes	Heliangelus_exortis	Heliangelus_exortis	36389	39149	102149	188395	342427	728	63728	149974	304006	59348	145594	299626	83971	238003	151472	
Lepidosauria	Squamata	Hemicordylus_capensis	Hemicordylus_capensis	32122	34676	122770	189655	346609	546	88640	155525	312479	84442	151327	308281	64604	221558	154427	
Lepidosauria	Squamata	Heteronotia_binoei	Heteronotia_binoei	56046	58928	201227	373524	599697	535	142834	315131	541304	138647	310944	537117	170238	396411	223823	
Mammalia	Artiodactyla	Hippopotamus_amphibius	Hippopotamus_amphibius	38335	41108	165846	262256	687021	705	125443	221853	646618	121086	217496	642261	94165	518930	422415	
Aves	Passeriformes	Hirundo_rustica	Hirundo_rustica	17173	20044	71579	133310	194644	527	52062	113793	175127	47883	109614	170948	59507	120841	58996	
Amphibia	Anura	Hyla_sarda	Hyla_sarda	45969	48741	251911	325886	563977	455	203625	277600	515691	199518	273493	511584	71769	309860	235771	
Amphibia	Anura	Hyperolius_riggenbachi	Hyperolius_riggenbachi	10666191	10662135	9864885	9534797	9203614	404	799088	1129146	1447417	795032	1125090	1443361	327840	646111	316023	
Aves	Piciformes	Indicator_indicator	Indicator_indicator	29134	35748	117965	157026	763180	4672	86889	125950	732104	78565	117626	723780	36807	642961	604866	
Mammalia	Rodentia	Jaculus_jaculus	Jaculus_jaculus	63578	66368	275886	408167	837466	425	209943	342224	771523	205866	338147	767446	130030	559329	426949	
Lepidosauria	Squamata	Lacerta_agilis	Lacerta_agilis	31769	35429	129528	205597	331235	1301	95400	171469	297107	90447	166516	292154	73866	199504	123279	
Mammalia	Artiodactyla	Lagenorhynchus_albirostris	Lagenorhynchus_albirostris	40042	42886	168341	274039	732617	476	125931	231629	690207	121803	227501	686079	103891	562469	456228	
Aves	Galliformes	Lagopus_muta	Lagopus_muta	16698	19484	65931	120204	220067	472	46919	101192	201055	42795	97068	196931	52061	151924	97522	
Mammalia	Primates	Lemur_catta	Lemur_catta	35296	38118	156658	256519	556194	466	119006	218867	518542	114888	214749	514424	97709	397384	297409	
Mammalia	Carnivora	Leopardus_geoffroyi	Leopardus_geoffroyi	37289	40112	193553	297672	719278	458	153899	258018	679624	149768	253887	675493	102000	523606	419562	
Actinopteri	Semionotiformes	Lepisosteus_oculatus	Lepisosteus_oculatus	20777	23679	3593317	3542285	2819328	561	3570199	3519167	2796210	3565974	3514942	2791985	48688	758523	707491	
Mammalia	Lagomorpha	Lepus_europaeus	Lepus_europaeus	52739	55550	202911	304972	652760	455	147816	249877	597665	143709	245770	593558	99948	447736	345438	
Mammalia	Proboscidea	Loxodonta_africana	Loxodonta_africana	47204	50047	201281	310554	703109	583	151817	261090	653645	147582	256855	649410	106938	499493	390205	
Mammalia	Carnivora	Lutra_lutra	Lutra_lutra	43379	46206	176428	276690	671759	462	130684	230946	626015	126570	226832	621901	98035	493104	392716	
Mammalia	Carnivora	Lynx_canadensis	Lynx_canadensis	41887	44710	199496	303200	673888	458	155244	258948	629636	151134	254838	625526	101489	472177	368338	
Mammalia	Primates	Macaca_fascicularis	Macaca_fascicularis	61849	64671	226417	343008	712983	454	162200	278791	648766	158094	274685	644660	114373	484348	367628	
Mammalia	Primates	Macaca_mulatta	Macaca_mulatta	62130	64952	225687	341938	750938	454	161189	277440	686440	157083	273334	682334	114024	523024	406653	
Mammalia	Primates	Macaca_nemestrina	Macaca_nemestrina	61877	64699	224291	340881	759215	454	160046	276636	694970	155940	272530	690864	114372	532706	415987	
Mammalia	Primates	Macaca_thibetana	Macaca_thibetana	62283	65129	226750	343348	799967	454	162075	278673	735292	157969	274567	731186	114380	570999	454272	
	Testudines	Malaclemys_terrapin	Malaclemys_terrapin	62564	65366	527076	742328	1116875	458	592956	808208	1182755	595758	811010	1185557	212965	587512	372209	
Mammalia	Pholidota	Manis_pentadactyla	Manis_pentadactyla	35405	38224	180711	283544	652074	451	142938	245771	614301	138835	241668	610198	100594	469124	366180	
Mammalia	Rodentia	Marmota_flaviventris	Marmota_flaviventris	42972	45832	183429	293311	605197	504	138101	247983	559869	133945	243827	555713	107730	419616	309536	
	Testudines	Mauremys_mutica	Mauremys_mutica	69042	71662	418429	647771	1046501	276	490742	720084	1118814	493362	722704	1121434	227202	625932	396389	
	Testudines	Mauremys_reevesii	Mauremys_reevesii	62726	65332	441414	670460	1065359	262	507411	736457	1131356	510017	739063	1133962	226906	621805	392558	
Mammalia	Carnivora	Meles_meles	Meles_meles	41809	44636	174026	274812	568639	462	129852	230638	524465	125738	226524	520351	98553	392380	291474	
Aves	Psittaciformes	Melopsittacus_undulatus	Melopsittacus_undulatus	18472	21231	74503	143049	175635	424	53696	122242	154828	49620	118166	150752	66316	98902	30251	
Mammalia	Rodentia	Meriones_unguiculatus	Meriones_unguiculatus	48438	51227	164514	271339	621108	433	113720	220545	570314	109635	216460	566229	104592	454361	347419	
Mammalia	Artiodactyla	Mesoplodon_densirostris	Mesoplodon_densirostris	41095	43932	180775	276794	817241	469	137312	233331	773778	133191	229210	769657	93774	634221	538097	
Mammalia	Primates	Microcebus_murinus	Microcebus_murinus	39409	42224	175132	278957	585413	459	133367	237192	543648	129250	233075	539531	101778	408234	303653	
Mammalia	Rodentia	Microtus_ochrogaster	Microtus_ochrogaster	47683	50601	171887	285038	620787	565	121851	235002	570751	117634	230785	566534	110900	446649	333399	
Chondrichthyes	Myliobatiformes	Mobula_hypostoma	Mobula_hypostoma	462674	485731	1064227	1585018	1641911	20740	599236	1120027	2107892	574844	1095635	2130949	518207	2709445	3230236	
Aves	Passeriformes	Molothrus_aeneus	Molothrus_aeneus	16313	19075	70992	132196	152786	421	52338	113542	134132	48265	109469	130059	59067	79657	18252	
Aves	Passeriformes	Molothrus_ater	Molothrus_ater	16399	19161	70935	132316	10119355	421	52195	113576	10139013	48122	109503	10141775	59145	10193549	10254930	
Mammalia	Didelphimorphia	Monodelphis_domestica	Monodelphis_domestica	56935	59978	265202	391093	849689	684	205908	331799	790395	201572	327463	786059	123751	582347	456258	
Mammalia	Rodentia	Mus_caroli	Mus_caroli	50723	53524	176899	274702	578282	445	123820	221623	525203	119723	217526	521106	95657	399237	301233	
Mammalia	Rodentia	Mus_musculus	Mus_musculus	42311	44687	167354	270084	608759	239	122906	225636	564311	119015	221745	560420	100485	439160	336328	
Mammalia	Rodentia	Mus_pahari	Mus_pahari	47673	50491	177909	278199	623699	462	127880	228170	573670	123766	224056	569556	98042	443542	343153	
Mammalia	Carnivora	Mustela_erminea	Mustela_erminea	41149	43982	172209	272762	589121	468	128695	229248	545607	124575	225128	541487	98329	414688	314006	
Mammalia	Carnivora	Mustela_lutreola	Mustela_lutreola	54879	57709	185235	285068	661550	465	127991	227824	604306	123874	223707	600189	97618	474100	374129	
Mammalia	Carnivora	Mustela_nigripes	Mustela_nigripes	55096	57923	179200	285311	603331	462	121739	227850	545870	117625	223736	541756	104331	422351	315667	
Mammalia	Chiroptera	Myotis_daubentonii	Myotis_daubentonii	37700	40699	172308	267751	599476	646	132255	227698	559423	127957	223400	555125	93225	424950	329354	
Chondrichthyes	Torpediniformes	Narcine_bancroftii	Narcine_bancroftii	534780	608441	1169061	1640925	2301235	71344	631964	1103828	2839598	556968	1028832	2913259	469496	3473879	3945743	
Mammalia	Carnivora	Neofelis_nebulosa	Neofelis_nebulosa	37310	40134	196668	300864	733875	459	156993	261189	694200	152882	257078	690089	101990	535001	430661	
Mammalia	Carnivora	Neogale_vison	Neogale_vison	52355	55182	182904	282775	600996	462	128184	228055	546276	124070	223941	542162	97755	415976	315865	
Mammalia	Carnivora	Neomonachus_schauinslandi	Neomonachus_schauinslandi	42184	44880	174793	282403	596022	469	130382	237992	551611	126261	233871	547490	105287	418906	311269	
Mammalia	Primates	Nomascus_leucogenys	Nomascus_leucogenys	58482	99279	213841	330755	709898	38429	152991	269905	649048	113025	229939	609082	114597	493740	376796	
Aves	Galliformes	Numida_meleagris	Numida_meleagris	16550	19289	67550	118997	216528	425	48686	100133	197664	44609	96056	193587	49166	146697	95190	
Mammalia	Primates	Nycticebus_coucang	Nycticebus_coucang	53425	56257	220008	319531	509473	476	164227	263750	453692	160099	259622	449564	97230	287172	187592	
Mammalia	Lagomorpha	Ochotona_princeps	Ochotona_princeps	45466	48264	169097	262616	578711	442	121275	214794	530889	117181	210700	526795	91283	407378	313745	
Aves	Passeriformes	Oenanthe_melanoleuca	Oenanthe_melanoleuca	17252	20058	71345	131559	950026	462	51749	111963	930430	47635	107849	926316	57981	876448	816129	
Mammalia	Artiodactyla	Orcinus_orca	Orcinus_orca	40067	42911	168296	382098	814685	476	125861	339663	772250	121733	335535	768122	211992	644579	430630	
Mammalia	Monotremata	Ornithorhynchus_anatinus	Ornithorhynchus_anatinus	57824	60606	182823	343120	670450	447	122664	282961	610291	118565	278862	606192	158061	485391	324977	
Mammalia	Lagomorpha	Oryctolagus_cuniculus	Oryctolagus_cuniculus	53521	56343	203085	304791	684831	466	147208	248914	628954	143090	244796	624836	99494	479534	377705	
Mammalia	Artiodactyla	Ovis_aries	Ovis_aries	33078	35907	160631	239069	38182185	461	125185	203623	38218666	121072	199510	38221495	76130	38346219	38424657	
Mammalia	Artiodactyla	Ovis_canadensis	Ovis_canadensis	36289	39119	166429	245863	38123814	462	127772	207206	38163434	123658	203092	38166264	77318	38293574	38373008	
Mammalia	Primates	Pan_paniscus	Pan_paniscus	63021	65843	216176	337464	755196	454	150787	272075	689807	146681	267969	685701	119460	537192	415385	
Mammalia	Carnivora	Panthera_leo	Panthera_leo	41421	44245	198959	301417	747698	459	155173	257631	703912	151062	253520	699801	100078	546359	443931	
Mammalia	Carnivora	Panthera_onca	Panthera_onca	41657	44480	180298	282994	557278	458	136276	238972	513256	132289	234985	509269	100490	374774	271934	
Mammalia	Carnivora	Panthera_tigris	Panthera_tigris	41653	44476	199701	302570	746700	458	155683	258552	702682	151573	254442	698572	100489	544619	441780	
Mammalia	Primates	Pan_troglodytes	Pan_troglodytes	55862	65642	222867	337877	766665	7838	165063	280073	708861	153573	268583	697371	112777	541565	426441	
Mammalia	Primates	Papio_anubis	Papio_anubis	64679	67501	225858	343596	752902	454	158811	276549	685855	154705	272443	681749	115496	524802	406959	
Amphibia	Anura	Pelobates_fuscus	Pelobates_fuscus	118613	121707	312647	407244	605525	771	191711	286308	484589	187288	281885	480166	92400	290681	195970	
Mammalia	Rodentia	Perognathus_longimembris	Perognathus_longimembris	34069	36875	133860	223304	474942	450	97435	186879	438517	93333	182777	434415	87196	338834	249288	
Mammalia	Rodentia	Peromyscus_eremicus	Peromyscus_eremicus	54926	57840	175821	291513	650852	558	118539	234231	593570	114329	230021	589360	113543	472882	356989	
Mammalia	Rodentia	Peromyscus_leucopus	Peromyscus_leucopus	54150	57148	178371	294381	653761	585	121808	237818	597198	117571	233581	592961	113861	473241	357030	
Mammalia		Peromyscus_maniculatus	Peromyscus_maniculatus	55474	58267	179663	296401	652665	437	121833	238571	594835	117744	234482	590746	114490	470754	353914	
Mammalia	Artiodactyla	Phacochoerus_africanus	Phacochoerus_africanus	45125	47947	202513	308159	765299	463	155029	260675	717815	150914	256560	713700	103368	560508	454769	
Aves	Cuculiformes	Phaenicophaeus_curvirostris	Phaenicophaeus_curvirostris	17950	20751	79980	153859	7020395	472	59701	133580	7041082	55577	129456	7043883	71655	7103112	7176991	
Mammalia	Artiodactyla	Phocoena_phocoena	Phocoena_phocoena	37234	40086	169801	269029	722318	484	130199	229427	682716	126063	225291	678580	96977	550266	450939	
Mammalia	Artiodactyla	Phocoena_sinus	Phocoena_sinus	40090	42939	173166	272284	813448	481	130708	229826	770990	126575	225693	766857	96867	638031	538769	
Mammalia	Chiroptera	Phyllostomus_discolor	Phyllostomus_discolor	33433	36442	159094	253602	535853	644	123296	217804	500055	119000	213508	495759	92281	374532	279910	
Mammalia	Primates	Piliocolobus_tephrosceles	Piliocolobus_tephrosceles	61133	63439	222991	345196	729526	457	160009	282214	666544	155900	278105	662435	119966	504296	381983	
Aves	Passeriformes	Pithys_albifrons	Pithys_albifrons	17596	20358	72679	133045	204401	433	52754	113120	184476	48669	109035	180391	58133	129489	69024	
Amphibia	Caudata	Pleurodeles_waltl	Pleurodeles_waltl	820085	822985	2602986	4149604	6369781	568	1780569	3327187	5547364	1776352	3322970	5543147	1544349	3764526	2217818	
